Price,Close,High,Low,Open,Volume
Ticker,XOM,XOM,XOM,XOM,XOM
Date,,,,,
2020-11-27,32.84769821166992,33.46068090638393,32.58615917801524,33.264528190038526,14971900
2020-11-30,31.164031982421875,32.59432451957165,31.033262503736935,32.52893822133403,45614300
2020-12-01,31.46644401550293,32.40635203191362,31.44192570617102,31.842405974950758,32472900
2020-12-02,32.64336395263672,33.0356724226686,31.335669052530463,31.37653393357305,29369500
2020-12-03,32.864036560058594,33.21548013309737,32.4717281078319,32.74961365121628,27038900
2020-12-04,34.06548309326172,34.13086627593362,33.223654740447124,33.32173107335018,28723600
2020-12-07,33.4279899597168,33.951068012852225,33.24000586144207,33.85298853954599,24899400
2020-12-08,34.5231819152832,34.80923921907147,33.05202115925561,33.12557919705699,32573800
2020-12-09,34.980865478515625,35.74096398669884,34.63759679367936,34.907307457794985,37824800
2020-12-10,35.96981430053711,36.34577929694464,34.948176727475165,35.307795148578855,38058700
2020-12-11,35.79817581176758,35.904426980104795,35.31596280813264,35.71644606245593,25478800
2020-12-14,34.506839752197266,36.33761296620789,34.47414659392785,36.239536609190836,30595000
2020-12-15,35.17702865600586,35.32414472846333,34.376065104732255,34.686640708550726,27138400
2020-12-16,35.71644973754883,36.05154673267099,35.111638929923494,35.7573146164095,34273000
2020-12-17,35.536643981933594,35.99433877589755,35.471260792962006,35.9616456225164,21204600
2020-12-18,34.92366027832031,35.78183526171463,34.67029302433926,35.365008481594174,46596800
2020-12-21,34.286155700683594,34.39240687545334,33.12557385989705,33.59961516441571,27869500
2020-12-22,33.705875396728516,34.24530002605262,33.69770054843162,33.98376100079191,21792900
2020-12-23,34.1390495300293,34.64578101224658,33.88568223002507,33.92654711898287,19085900
2020-12-24,34.00010681152344,34.20443438399123,33.820300667849885,34.04097482025006,8039000
2020-12-28,34.114532470703125,34.776551802343256,33.93472321134838,34.07366446245611,23877500
2020-12-29,33.73038864135742,34.42510098830802,33.67317718303399,34.3597178007058,20287700
2020-12-30,34.00010681152344,34.67030099979448,33.730396037117444,33.779435776914596,23807300
2020-12-31,33.689517974853516,34.065479812937454,33.485190482270056,33.893845467436975,22786500
2021-01-04,33.918365478515625,34.5313479871635,33.50971047275038,33.877500601497154,27764700
2021-01-05,35.55299758911133,36.61550034177938,34.18809090234505,34.19626263341092,44035100
2021-01-06,36.460205078125,36.86068529234707,35.71645299106475,36.296742430001615,36484800
2021-01-07,36.74626159667969,37.24482125990384,36.39481800187547,36.77895474917092,29528100
2021-01-08,37.15491485595703,37.44914697859413,36.73808809408146,36.94241561060272,28628200
2021-01-11,38.28280258178711,38.527994971404155,36.57462446528882,36.811645126294465,38246200
2021-01-12,39.1328125,39.36983008394246,38.340020623480505,38.78954060131873,36915100
2021-01-13,39.574153900146484,39.81117457954054,38.977517895933964,39.66405851079875,29000300
2021-01-14,41.11886978149414,41.74819889479614,39.63953746702137,39.63953746702137,35474800
2021-01-15,39.1409797668457,40.11358077071306,38.65059495926543,39.97463643396462,42411300
2021-01-19,39.91742706298828,40.407811896194794,39.5169437255634,39.598676609624974,24932600
2021-01-20,40.48136901855469,40.65300651231165,40.04002392575429,40.13810026662208,22342400
2021-01-21,39.3207893371582,40.366945265531285,38.96934574538463,40.31790865500792,29044500
2021-01-22,38.765018463134766,38.93665283662086,38.119342733021625,38.42174659837197,23264800
2021-01-25,38.331844329833984,38.45443897221738,37.72703349358799,38.331844329833984,26395800
2021-01-26,37.49001693725586,39.11646556093413,37.473670359584766,38.626077584174084,23976800
2021-01-27,37.06500244140625,38.13567952482413,36.39480857782859,36.77894522565597,32410300
2021-01-28,37.645301818847656,38.078475145277935,37.34289485719784,37.54722236857671,24967200
2021-01-29,36.648197174072266,37.62897024319778,36.3784832550013,37.228486789429525,38961100
2021-02-01,36.713565826416016,37.25299345068693,36.198662741450796,37.25299345068693,24412400
