Price,Close,High,Low,Open,Volume
Ticker,DGX,DGX,DGX,DGX,DGX
Date,,,,,
2020-11-27,113.129638671875,113.3653204338604,112.23221109987107,112.3500588968143,405300
2020-11-30,112.38629913330078,114.2083336371329,111.72456035753663,113.20213217516027,1459900
2020-12-01,113.92733001708984,114.56186839344008,112.8123475375606,113.52847337141277,1074100
2020-12-02,112.7489013671875,114.58000980508979,112.4678924836872,113.88201062768889,1005700
2020-12-03,111.33478546142578,113.17495383092219,110.45549155104766,112.59480243115831,1262300
2020-12-04,111.76082611083984,112.21406978543197,110.9449861133841,111.31664924620546,780900
2020-12-07,111.40729522705078,112.35910278241234,111.04469890864895,111.49794257766385,823300
2020-12-08,112.48600769042969,112.84860399991527,111.24412449407448,111.24412449407448,1181400
2020-12-09,112.55851745605469,113.93638191573109,112.42254298864668,112.64916479567714,1018400
2020-12-10,113.7369613647461,114.89726398920952,112.2775162748025,112.2775162748025,1142500
2020-12-11,110.64584350585938,113.95452370990965,110.10195248014074,113.31091852261515,1419300
2020-12-14,111.64298248291016,113.58286480889178,111.4526140582559,112.0327653941037,1077600
2020-12-15,112.85765838623047,113.28370848428045,111.55231458215364,112.1324658470881,1015300
2020-12-16,109.6668472290039,115.03325090543842,109.44022538203336,114.96979706492466,1801800
2020-12-17,109.43115234375,110.7546230248227,108.18926220328781,108.79660705877572,1651100
2020-12-18,109.10482025146484,109.90252664618959,107.99890455508411,109.5580639358209,1879300
2020-12-21,109.53993225097656,109.5761925762797,107.79947813212517,108.37962950507563,1727100
2020-12-22,109.86628723144531,110.48269903612396,109.28613575833023,109.55808478708153,1030400
2020-12-23,109.53085327148438,110.68208900647575,109.13199667859821,110.47360081724794,860100
2020-12-24,108.98698425292969,110.2651279036287,108.45215308519883,109.71217003073158,535300
2020-12-28,107.41874694824219,110.05662835751295,107.14679798705676,109.97504090277756,768200
2020-12-29,107.32809448242188,107.8629186537169,106.12246474977334,107.84479195127852,970900
2020-12-30,107.26464080810547,108.92351417959848,106.81139717103845,107.96263296617107,614400
2020-12-31,108.02609252929688,108.17113382050802,106.29470534014769,106.99269753524042,886700
2021-01-04,109.79373931884766,109.92064698185374,107.51845436189767,108.7784710988501,1182300
2021-01-05,110.35575866699219,111.2078589166266,109.66683331906768,110.1110101463254,1698400
2021-01-06,113.95452880859375,115.39584735298435,109.78468820357965,109.81188171868986,1721600
2021-01-07,112.35005187988281,114.40777525887209,111.88774136402307,113.99985869049297,2033000
2021-01-08,111.47075653076172,112.83955443933927,109.03230321502191,112.07810142809579,1699600
2021-01-11,112.06902313232422,113.28371971845502,110.57332461043342,111.20786295814774,1135600
2021-01-12,114.41683197021484,114.5618663468112,112.05089948416943,112.42255569340654,1568500
2021-01-13,113.71882629394531,115.74936277677762,113.6372457585556,114.09048939769599,1043800
2021-01-14,113.28372955322266,114.7250411749943,113.10242792674359,114.46215900356208,1239300
2021-01-15,112.75794982910156,113.60098325836925,111.79707554565952,113.01176515559955,3038500
2021-01-19,114.7248306274414,115.79022247856916,112.0750266141044,113.34984954178067,1029500
2021-01-20,115.97232818603516,116.22729136261091,114.02367311109123,114.81587913156227,1114100
2021-01-21,113.98725891113281,116.29104246439614,113.53196549911314,115.95412283850017,1070300
2021-01-22,113.33163452148438,114.46076023045026,112.53942148891475,113.81424442341229,1394400
2021-01-25,113.7960205078125,114.51538483130142,112.08411307315147,113.23145425530565,905300
2021-01-26,114.7248306274414,114.97069295740398,112.6213773124725,113.89620024014877,965600
2021-01-27,113.93263244628906,115.99966159839528,113.36806608206759,114.09653836188714,2268000
2021-01-28,112.65779113769531,115.99964276324782,112.54851822929733,114.43343247900376,964300
2021-01-29,117.60227966308594,120.28852183866725,112.92187101405547,113.6048111140605,1814500
2021-02-01,121.41764068603516,122.66515405137933,118.41270146445449,118.76782976099436,1425000
